Stock,Model,Window,Seed,MAE,MSE,RMSE,MAPE,R2,Epochs Run,Test Points
Reliance,LSTM,1,16,18.02349516633269,583.8823115167077,24.16365683245621,1.4457837793786683,0.9727825496657305,21,616
Reliance,LSTM,1,17,21.084528737253958,744.2121989533862,27.280252912196143,1.651518333504712,0.9653088333665137,37,616
Reliance,LSTM,1,18,32.790826376382405,1824.3605170385647,42.71253348887847,2.473592927479097,0.9149581331975692,18,616
Reliance,BiLSTM,1,16,24.21042365532417,985.5889253674392,31.39409061220661,1.8921755475431667,0.9540571497079396,13,616
Reliance,BiLSTM,1,17,20.067650733056006,689.4439313631844,26.257264354139874,1.5754991728031642,0.9678618351849079,16,616
Reliance,BiLSTM,1,18,19.939286368233816,681.3789633386648,26.103236644881125,1.5669024552168942,0.968237780580624,20,616
Reliance,LSTM,2,16,31.31613094670986,1592.6339201694702,39.907817782603324,2.3985081191685955,0.9257336163484851,21,615
Reliance,LSTM,2,17,21.54836207444106,782.5261021526122,27.973668013912874,1.703334790817405,0.9635098920198771,14,615
Reliance,LSTM,2,18,27.32570374031377,1158.7116017940994,34.03985314001956,2.215812451336403,0.9459679218993746,13,615
Reliance,BiLSTM,2,16,23.50153778820503,914.2855337710461,30.23715485575728,1.8336130311938463,0.9573657955176257,19,615
Reliance,BiLSTM,2,17,23.945855762512704,952.9312263505851,30.869584162255656,1.8609850355010598,0.9555637016432939,17,615
Reliance,BiLSTM,2,18,20.877194883765245,741.235207358669,27.225635113963254,1.6462337094700061,0.9654353347693038,16,615
Reliance,LSTM,3,16,24.480494595505906,1010.0991269036012,31.78205668146102,1.9694632900566864,0.9528834129998309,11,614
Reliance,LSTM,3,17,25.937945735571052,1110.1929649226488,33.319558294230866,2.017836834899007,0.9482144850683097,19,614
Reliance,LSTM,3,18,39.3425490786276,2657.3815753446156,51.54979704465009,2.955733886915683,0.876045086217246,21,614
Reliance,BiLSTM,3,16,23.769897659749084,939.6583094983832,30.653846569368472,1.8563524777549283,0.956169160718285,12,614
Reliance,BiLSTM,3,17,30.144989610106627,1492.2759136333152,38.629987233149784,2.3119019415936837,0.9303920317914788,13,614
Reliance,BiLSTM,3,18,24.541728762151365,1000.7398338810654,31.634472239648087,1.9109740030398812,0.9533199819782718,17,614
Reliance,LSTM,5,16,30.318021188374438,1492.9250361005065,38.638388114678214,2.341255633411513,0.9303306013569552,11,612
Reliance,LSTM,5,17,31.9752256106707,1714.7672584116447,41.4097483500159,2.4505663536261215,0.9199780291592088,24,612
Reliance,LSTM,5,18,50.75040879592397,4644.145936629881,68.14797089150844,3.766080486896191,0.783274547085992,14,612
Reliance,BiLSTM,5,16,49.760915918287886,3653.4231804971478,60.443553671976865,3.795259515155172,0.8295079861219093,11,612
Reliance,BiLSTM,5,17,31.100423875197865,1657.2191935876945,40.70895716654621,2.3773712368078006,0.9226635886966306,11,612
